기사 작성일,댓글 작성일,댓글 내용,좋아요,싫어요,라벨
20210301,20210301,본인이한말은 책임져야지,2951,11,0.0
20210301,20210301,사람은 고쳐쓰는거 아님,1799,21,0.0
20210301,20210301,그 잘난 책임감은 어디 갔냐?,1091,9,0.0
20210301,20210301,거짓말입니다 절대 변하지않아요,5924,9,0.0
20210301,20210301,저런간 폐급이지 30년형도 부족하다,1097,12,0.0
20210301,20210301,인간은 고쳐쓰는동물이 아님 저건 쓰레기임 나와도 절대 안변해 법정 최고형 구형해라,3761,22,0.0
20210301,20210301,사람되긴 글렀다,822,7,0.0
20210301,20210301,형량을 줄이기 위한 개수작. 처음에 재판 하기전에 태도 어쨌지요? 벌금에 집유정도 예상했었겠지.,4661,8,0.0
20210301,20210301,책임진다면서?? 감방가서 반성해라,1813,7,0.0
20210301,20210301,. 사람이 쉽게 변하나??,1068,6,0.0
20210301,20210301,간접살인인데 2년 선고... 내 부모였다면.... 난 이제 법보단 칼로 해결 하겠다,1644,32,0.0
20210301,20210301,뭘 사죄 ? 책임 지면 되는거지,2068,15,0.0
20210301,20210301,남자답게 한말 그대로 책임지시길,1545,8,0.0
20210301,20210301,이제와서 ????????? 그리고 7년은 적지 않나?,1770,12,0.0
20210301,20210301,먼소리예요 비호감은 당신이 무조건 일등이예요,3037,82,2.0
20210301,20210301,진짜 지나가는 개가웃는다 ㅋㅋ,1647,38,0.0
20210301,20210301,오 나베 ~~~~,954,30,2.0
20210301,20210301,잘들논다~~~~        국민의 짐 덩어리즐아~~~,1078,66,2.0
20210301,20210301,경원아  웃고간다,1275,48,0.0
20210301,20210301,신라호텔 자위대 행사에도 참여하고 수많은 친일행각을 벌인  노골적인 토왜가 수도시장후보까지 나오다니  이런게 비극이고 진정한 독립이 안됐단 증거다  그런 후보 내는 당이 토왜 끄나풀이 아니고 무엇이며  그런자 애 입시비리 철저히 덮는 검새들도 앞잡이가 아니냐  토왜들이 여전히 상류층에 앉아 권력과 부를 독점하며  국민들을 착취하니까 무전유죄 유전무죄가  갈수록 심화되고 일부만 풍요롭고  일반인들은 고통에 겨워 자살하니 자살율최고  고통을 대물림하지 않으려니까 출산율도 세계최저가 되는거다  토왜척살만이 헬조선 탈출이자 살 길이다,9286,110,1.0
20210301,20210301,풋 밥을 안주려 한게 아니라고? ㅋㅋㅋㅋㅋㅋㅋ 그럼왜 거기에 직까지 걸고 지가 나가는데? ㅋㅋㅋㅋㅋㅋㅋ 개그가 쩐다 그리고 친일은 저쪽이 많다고? ㅋㅋㅋㅋ 니네가 일본이 머라할때 그거에대해 반응한적있냐? 없어 그게 바로 친일이다 친일이 무슨 다른건줄알아? 독도 자기땅이라고 하고 위안부에대해 망언쏟아낼때 너넨 머했니? 수수방관 일본과 어떻게든 안틀어지려고 작정한걸로 내눈에 보인다,4233,54,1.0
20210301,20210301,아베가 부른다  경원아  국민 밉상 비호감 등극,2086,76,1.0
20210301,20210301,친일 아니라고 말을 안하네 ㅋㅋㅋ,5491,51,0.0
20210301,20210301,민주당한텐 친북이랬다가 이젠 친일이라고 하네 ㅋㅋ 친북이자 친일일수가 있나? ㅋㅋ 하나만 밀어라 인마~~,6530,73,0.0
20210301,20210301,자위대 행사참석,2268,33,0.0
20210301,20210301,그래서 친일인정했다는 내용인가 나도친일 저쪽도 친일,2465,30,0.0
20210301,20210301,ㅋㅋㅋㅋ 저쪽이 많다라니 ㅋㅋㅋㅋㅋ 아~무슨 초딩도 아니고,2766,73,0.0
20210301,20210301,"✳나경원을  특검특검✳ 🖤1. 자녀 성신여대 특수전형 입학과 재학시 각종 특혜 의혹, 편법 꼼수 황제 유학 의혹  ✳2. 후원회, 지역구 사무실 모저축은행에서 무상 임대 받은 의혹  🍓3. 남편기소청탁 의혹  ⛾4. 정보경찰의 비선캠프 활동 의혹 ⛾5. 사학재단 비리 의혹  🌀6. 부동산 투기 의혹 🌀 7. 주유비 5천 8백만원 논란  🌀8. 체육훈장 수여 논란  🌀9. 친일사관 논란  🍡10.아들논문의혹ᆢ 🌀11. 피부 클리닉 논란  🌀12. 달창 막말 논란",5177,105,0.0
20210301,20210228,180석 가지고 국민을 위한 법을 만들어라니 선거를 위한 법을 만들고 있냐..주무부서에서 위험하다고 현실성이 없다고 반대하는데 대통령이 공개적으로 질타하고 있으니...좁은 나라에 공항 많이 만들어서 뭐할려고..,1992,809,0.0
20210301,20210228,좁은 땅덩어리 공항이 무선필요 선거 이용말라  너거돈아니라고 국민혈세를  마구써나,1066,485,0.0
20210301,20210228,잘못정도가 아니다 망쪼다,1060,399,0.0
20210301,20210228,선거용. 세금낭비 ..  !,938,204,0.0
20210301,20210228,"진보성향이지만 이건 아니다.입지 조건,환경,건설,완공후 지반침하,해상 기상으로 인한 이착륙의 위험 증가 및 잦은 결항.  모든 제반 조건이 최악이다.이건 국민을 위하는게 아니다!!!문제인표 4대강이란 오명을 쓰지 말기를!!!",10,5,1.0
20210301,20210228,구라미터의  구라 여론조사!,916,161,1.0
20210301,20210228,"외해를 메꿔  관문공항을 짓겠다는   미친나라가 어디있냐,?",838,374,1.0
20210301,20210228,언론에서 그렇게 난리치니 잘 나올리 있나.. 정확하게 좀 보도 해다오..,2413,308,0.0
20210301,20210228,그래도 특별법은 아니지. 예타도 받고 정식절차 밟아야지 솔직히 선거용 속보이는거 다 알지않나..,1792,574,0.0
20210301,20210301,"""첫째, 가덕도는 내해에 위치한 해외 공항들과는 달리 외해에 들어서기 때문에 파도와 바람의 영향을 훨씬 많이 받는다. 둘째, 수심과 지반 연약층이 깊어 막대한 성토작업이 필요하다. 셋째, 해일 영향을 줄이기 위해 해수면 위 40m, 약 10층 건물 높이까지 높여야 한다. 넷째, 활주로가 높은 데다 바다-육지-바다에 걸친 모양이 돼 항공기 착륙 때 언더슛(활주로에 못 미친 지점에 부딪히는 사고) 및 추락 위험이 있고, 부등침하(지반이 들쑥날쑥하게 내려앉아 구조물을 붕괴시키는 현상) 가능성이 커 이·착륙 때 위험하다.""  표긁어야지",657,201,0.0
20210301,20210228,미친법이지 국민들 주머니 털가는 법 이제 국민 주머니 그만털어라,837,323,1.0
20210301,20210228,이건 도저히 아니다,554,104,2.0
20210301,20210228,전라도는 뭘 안다고 찬성이냐? 민주당이하면 무조건 찬성이냐.  쥐박이도 울고 가겠네,1277,646,1.0
20210301,20210228,4대강보다 더 추악한 가덕도공항,1524,1088,1.0
20210301,20210228,"표만 생각하고 최소한의 룰도 없는 , 한나라당보다 더한다.",1137,473,1.0
20210301,20210301,가덕신공항 생기면 인천공항이 위축되니까 국토부에서 반대한다는 느낌이 듭니다. 추진과정이 어쨌던 가덕신공항은 장기적으로 볼때 반드시 필요한 사업입니다. 수도권 사람만 대한민국  국민인가요?,106,106,0.0
20210301,20210301,어찌 광주전라는  전국 평균치하고 항상반대인지? 미래도없이  그냥 무조건적인 정치논리인지??? 이제는  냉정하게 국가 미래도 내다보길,354,102,0.0
20210301,20210228,지역별 이해타산이 아니더라도 누가봐도 나라살림 거덜내는 선거용 선심인데  못된 짓이다. 투표 똑 바로 해야 선진시민이다 70년대 처럼 막걸리 한사발에 표주는 세상 아니다,11,3,0.0
20210301,20210228,기래기 갈라치기 퉤~,997,214,1.0
20210301,20210228,이젠 기자가  안스럽기까지한다..,871,27,0.0
20210301,20210228,앞으로 두번다시 저런 허접한!? ㅎㅎㅎㅎ 기자 없으면  부족해. 취재도 못한  기레기 거의 일기 수준 ㅋㅋㅋ,1334,49,1.0
20210301,20210228,뭐가 뚜렸하냐 이젠  바램으로 기사는 쓰네요,740,27,0.0
20210301,20210228,기발노마...희망사항 끄적이지말고...ㅉㅉ,1025,35,1.0
20210301,20210228,계성아 이건 기사냐 저주냐?,731,15,0.0
20210301,20210228,레임덕은 기레기들의 희망사항 같은데? 안그러냐? 기레기야?,1734,78,1.0
20210301,20210228,레임덕이 어기를 오매불망 기우제 드리는 수구보수 언론과 국짐당의 희망사항이지 역사상 처음으로 레임덕 없는 대통령으로 기록댈거다 나갔은 문재인 대통령을 지지하는 절대다수 민주당 지지자가 있거든 쓰레기들아 꿈은 꾸라고도 있지만 깨라고도 있다 꿈깨그라 그래야 건강에 좋다,2713,82,0.0
20210301,20210228,기레기야 그건 니 희망사항이고.   개바기는 돈에 눈이 멀어 일안하고 닭그네는 잠만 자느라고 일하했지만 밤새서 일하는 문통은 레임덕이 없을거다.,2092,125,1.0
20210301,20210228,지지율은 콘크리트인데 레임덕이라니 앞뒤 논리도 없는 소설쓰지마라!! 박근해 이 맘때 지지율 4프로였다! 40 프로 지지받는 레임덕도  있더냐?,5877,157,0.0
20210301,20210228,데일리안 좀 조사해주세요,522,20,0.0
20210301,20210228,기자 개인적인 바램은 아니고? 일기는 일기장에 제발 적어줘... 기레기 라는 소리가 나오질 않게,1222,32,0.0
20210301,20210228,레임덕? 어디에서 레임덕? 너무 소망을 노골적으루 쓴거 아니여?ㅋㅋㅋ 지금쯤이믄 지지율이 바닥치구 신문들이 신나게 씹어가며 신문팔이 해야허는데 씹어대두 지지율은 안떨어지네? 그런거자네...한국 국민들이 아직두 개돼지루 보이니?,2438,98,1.0
20210301,20210228,기레기들의 꿈에도 소원은 대통령 레임덕 그러나 그런 일은 없을거다 고마 집에서 오리고기나 쳐 먹어라,1229,90,0.0
20210301,20210228,데일리안 폐간은 뚜렷한데 기쓰고 정권 비난해봐야 나아지지 않는 사정,2851,34,1.0
20210301,20210228,니 희망은 니 sns에서 써.,960,19,0.0
20210301,20210228,기사를 써라 소설과 소망을 쓰지 말고,1149,27,0.0
20210301,20210228,끝까지 버텨라 문재인대통령이 새삼 대단하다,1254,219,0.0
20210301,20210228,대통령 후보로 보는 자체가 코메디...ㅋㅋㅋ,3492,145,0.0
20210301,20210228,나오면 검증단계부터 탈탈 털리고 본색이 드러나면서 쥐구멍찾기 바쁠거다,2364,146,0.0
20210301,20210228,대권이란걸 윤짜장 같은 인간이 거머쥘 그릇이라면 대통령제는 폐기 처분해야 한다. 공정성이라곤 눈꼽만끔도 없고 자신에 해가 되면 상사도 짓밟는 명박이를 닮은 인간.,7198,320,1.0
20210301,20210228,중앙 지라시 애쓴다 기레기야.,1638,83,1.0
20210301,20210228,조.중.동.발악하는 기사 논조 봐라.. 폐간되어야 하고 국짐당 공중분해.. 검찰개혁.. 종교개혁되어야  국가 민족이 번영하고 잘 살수있다,5618,192,1.0
20210301,20210228,종양이 윤석열에게서  단물을  다  빨아먹고  버리는구나 ~  본인이   이용하는  줄  알았는데  본인이  이용당하고  있었던거지~~불쌍한 석열이는 감빵갈  일만  남았네~,4095,266,1.0
20210301,20210228,윤가가 무슨 내각제 총리냐?? 선출직 정치인이냐?? 무슨 지지율이 어쩌고? 퇴진이 저째?? 당췌 기사랍시고 무슨 말 같은 소리를 해야지!!,7911,130,1.0
20210301,20210228,중앙기레기 마음 아프냐?,1621,65,1.0
20210301,20210228,언제 석렬이가 대권 도전 한다 했던? 지덜 맘대대로 지지고 볶고 웃긴다. 그래서 문통님 지지율에 도움이 되는 모양이지.,1259,188,0.0
20210301,20210228,잊혀진 남자까지 소환하는 걸 보니 똥줄타네 발정제는 시간이 지나니 더욱 새록새록~,1455,98,2.0
20210301,20210228,이상 중앙기레기의 바램이었습니다. 출마하세요. 검찰이 아닌 경찰이 수사 해주실텐데요.,2036,84,1.0
20210301,20210228,어떻게 이런 자가 검찰총장에 추천되었는지 경위를 밝혀서 다시 재발하지 않도록 해야 한다,2057,300,0.0
20210301,20210301,차라리 하루.더 묵었다 오지. 분명 어제도 일기예보에서 폭설 얘기 하던데. 겁들이 없구나. 어찌되었건 사고 없이 귀가 하기를 바랍니다.,1191,39,0.0
20210301,20210301,집구석에 있으라니깐,855,40,0.0
20210301,20210301,집구석에 있지 기어나갈땐 좋았지?,1303,147,0.0
20210301,20210301,살려주긴  아주 고생이란 고생 해봐야  다음부턴 집구석에 있지 더 고생해라,3059,221,0.0
20210301,20210301,6시간째? 니 따위것들 때문에 코로나가 6개월 이상 더 유행될지도 모른다는 생각은 안해봤냐?,28,1,1.0
20210301,20210301,꼭 저런넘들이 턱스크 코스크하고 다님,491,43,0.0
20210301,20210301,눈 온다 했지,733,21,0.0
20210301,20210301,한심한 넘들...폭설온다고 그렇게  얘기 했건만..,1469,58,0.0
20210301,20210301,긍께 집에 좀 있지~~,651,30,0.0
20210301,20210301,"어제 일기예보에 눈이 ,50Cm나 온다고 나왔는데 거기에는 왜들 그렇게 많이들,,갔나 ?",3291,24,0.0
20210301,20210301,한심한  인간들..................기상청을  왜  무시하냐.................. 싸다싸..............,821,64,0.0
20210301,20210301,이시국에  영동에 큰 눈 온다고 예고까지했는데도 저기가서 저러는 겋들에게 벌금이라도 받아야한다.,1940,66,0.0
20210301,20210301,누군 강원도 놀러 안가고싶니,898,43,0.0
20210301,20210301,눈 많이 온다는데 왜 가서 난리야~!,1134,33,0.0
20210301,20210301,놀러갈땐 좋아쮸?,1303,59,0.0
20210301,20210301,일기예보 좀 듣고 보고 살자,503,24,0.0
20210301,20210301,눈온다고  그리말했는데.....강원도  여행 이라~~~,1845,24,0.0
20210301,20210301,좋은 사람들. 복 받으세요.,1977,11,0.0
20210301,20210301,왜 눈물이 나지.....,2271,12,0.0
20210301,20210301,세상은 따뜻하게 빛내주는 숨겨진 보석 같은 존재 그대의 이름은 치킨집 점주.,1523,15,0.0
20210301,20210301,훌륭한 사람은 이런 분 입니다. 공부만 잘해서 자기만 잘 먹고 잘 사는 사람이 아니라...,7634,37,0.0
20210301,20210301,점주님 건강하시고 복많이받으세요!,3217,11,0.0
20210301,20210301,아   눈물.......,1137,6,0.0
20210301,20210301,역시 우리나라는 정치만 잘하면 됨,4265,39,0.0
20210301,20210301,점주님 올 한해 대박나시고  건강하시길,2429,8,0.0
20210301,20210301,아이들이 탈없이 잘 자라서 벗진 어른으로 성장했으면 좋겠습니다..,2555,6,0.0
20210301,20210301,세상은 언제나 악당들이 이기는것 같지만 결국엔 선한 인간이 끌어간다. 저분에게 좋은 결과가 쭈욱 이어지기를 기원합니다.,5160,16,0.0
20210301,20210301,한국사람  정도많고  으협심도  많아 한국이  발전하는가  싶습니다.,1978,37,0.0
20210301,20210301,그 형제들을 찾아서 도와줍시다~,2148,16,0.0
20210301,20210301,어차피 같은기름 같은시간으로 튀기는 치킨이겠지만 이런 마인드를 가진분이 튀기는 치킨은 더 맛있을듯 하네요.,3532,9,0.0
20210301,20210301,아주 ...저 ...점주는  돈쭐  호되게 나야함 !!!!,2944,14,0.0
20210301,20210301,한국인들 무서워ㅋ,1295,11,0.0
20210301,20210301,왜구 앞잡이당이 별시비를  다거는구만... 그나저나 tv조선은 본토주인님 심기 거스릴까봐 그러는지 기념식 중계도 안하더만,2945,95,1.0
20210301,20210301,느그들이 할얘기는아니지,508,31,0.0
20210301,20210301,니들은 위안부에 대해 할말 없지 않나?  일본이라면 굽신거렸던거 기억안남?,940,66,0.0
20210301,20210301,니들이지금  무슨낮으로 위안부문제를얘기하냐,1218,50,0.0
20210301,20210301,한일위안부 합의? 10억엔? 이거 너희들이 여당일 때 너희 당 소속 대통령의 업적이라고 옹호했잖아,2430,47,0.0
20210301,20210301,국짐~ 너희는 왜 사니?,497,76,1.0
20210301,20210301,별의 별 난리를 다 치네 ㅋㅋㅋㅋ 지들이 푼 돈 받고 합의 받은건 잘한 합의라고 그 난리를 치더만 ㅋㅋㅋㅋㅋㅋㄱㄱ,1460,52,0.0
20210301,20210301,"친일 재산 환수도 반대, 친일 인명 사전 발간도 반대, 지 멋대로 100억원에 위안부 합의, 자위대 창설 기념식에 참석 등등 국짐당이 친일한 행적은 너무도 많지 않나??",3368,58,0.0
20210301,20210301,또왜? 뭐? 트집쟁이들아,383,54,0.0
20210301,20210301,국민의 암. 이 언제부터 위안부 문제에 관심 있었냐?,1207,100,1.0
20210301,20210301,그만해  쫌..!!!  매번 시비냐? .,419,54,0.0
20210301,20210301,친일국짐당에서 할말은 아니다,607,60,1.0
20210301,20210301,방해나 좀 안하면 좋을텐데....  일베 무리들이 할 말은 아닌듯.,552,62,0.0
20210301,20210301,풋!!  정부가 이리도 야무지게 국민을 챙기는데  더는 깔께 없었군!!,471,113,0.0
20210301,20210301,대구 지역구 의원이 서울 아파트 23억 시세차익 얻은 놈이 할말은 아니지.  뻔뻔하고 가증스런 국케원.,8,0,1.0
20210301,20210301,당대표란 사람이 국민이 뭘 원하는지도 모르고 입만 열면 똥만 배설하고!!!,860,114,1.0
20210301,20210301,비교할것 비교해라  저런것들이 국회의원  맞아,482,77,1.0
20210301,20210301,무식함의 극치를 보어주는군  그럼 유럽은?  미국은?,650,67,0.0
20210301,20210301,주가놈아 내맘은 대구 경북은 안주고싶다 ㅋ,570,113,0.0
20210301,20210301,많이 해봣구나...ㅋ,133,17,0.0
20210301,20210301,쫌팽아  트집할것 같고 해라 원내대표가  하는  소리마다 찌질하게  놀지말고  대인배가  되라,440,125,1.0
20210301,20210301,국힘당도 찬성 했잔어!,242,38,0.0
20210301,20210301,당신 발상은 대체 어디서 나오는지? 우리 애 생각만도 못하는 발언들을 쏟아내는 자세에 박수를 보낸다..ㅎ,446,61,2.0
20210301,20210301,호색이 눈엔 돈 밖에 안 보이네,150,35,1.0
20210301,20210301,20조 너무 작다 국가예산 전부를 태클 걸지⟩,96,52,0.0
20210301,20210301,선거에 미쳤나... 재난지원금과 선거는 별거 아니냐,539,89,0.0
20210301,20210301,이런걸 기사라고 싸지르니,197,33,0.0
20210301,20210301,부끄러운 줄 아시오 주,191,65,0.0
20210301,20210301,머리가 머가 들었니 ㅋㅋㅋㅋㅋ 비호감,317,64,1.0
20210301,20210301,혹시 원나잇 관심 있으신 분 계신가요? 실시간으로 만날 수 있는 사이트인데 대학생들은 물론 미시 분들이 많이 이용하는 곳입니다. 괜한 곳에서 돈 쓰지 마시고 공짜로 하세요.  다음 검색창에 임미우 만남 검색해보세요.,22,0,2.0
20210301,20210301,비교할걸 비교하세요 지금 코로나로  장사가 안되 죽을 지경에 처한 사람들 심정을   헤아려  보았다면 야당대표라는 분이  그런말을  할수가 있는것이요 ?  그럼  굶어죽든 어찌되던 국가는 구경만 하고있으란 말인가요 ?,7,0,0.0
20210301,20210301,아니 아무리 양보해도 명색이  야당 원내대표라는게 이정도  수준밖에 안되나 한심한  쓰레기도 아니고 구역질 난다,1942,176,1.0
20210301,20210301,호영아~ 도대체  너의 머리에는 똥만들었나,576,116,1.0
20210301,20210301,좀 모자란가,337,35,1.0
20210301,20210301,스티브 유 당신은 영원한 외국인이야,358,12,0.0
20210301,20210301,아휴... 이 찌질이... 언제 철들래?,337,8,1.0
20210301,20210301,제발 꺼져라. 그냥 미국에서 살어.,576,9,1.0
20210301,20210301,안들어 오면되지  잔말이 많아 국민이라는 단어를 그 입으로 지껄여 누가 믿을꼬,547,9,0.0
20210301,20210301,왜 자꾸 남의 나라 병무청에 시비 걸고 난리야???!!!,2042,15,0.0
20210301,20210301,기레기들 스티브한테 돈받고 기사쓰나본데 기사꺼리도 안되니까  꺼져라,638,8,1.0
20210301,20210301,스티브...너 참  웃기는 짬봉이다 이제 니네나라에서  잘 살아라 왜 남의 나라  기웃거리며 허소리까냐 너두..이제 한물갔자나 들어와도 안된다 이제 우리나라는  트롵시대야 미국에서 트로트 불러봐 혹시 알아 그러면  들어줄지.. 짱그같은 인생아,665,27,1.0
20210301,20210301,스티브유 왜 또 그래 쉿!,111,8,0.0
20210301,20210301,입영통지서 받고 국적 포기하고 미국 시민권 취득 했는데  조용히 살아야지,598,8,0.0
20210301,20210301,넌 중국에서도 끝났어~~,251,6,0.0
20210301,20210301,양심은 니가 없다.. 그만좀 해라.. 지나라에서 살면 될것을 왜 저래..,1221,17,1.0
20210301,20210301,옛날엔 팬이었는데 그땐 건강한 정신이 좋아서 팬했는데 지금은 정신도 얼굴도 실망스럽네요 걍 옛 추억으로 잘 간직하고픈데 아저씨 모습으로 자꾸 성질 내는 모습 정 떨어져요,759,13,0.0
20210301,20210301,이런  기사  자체를  올리지마라 굿민들  열받게  하려고  계속  올리나 무관심이  상책이다,1047,5,0.0
20210301,20210301,넌 오지마라 니 평생! 누구나 20~30대는 인생에 가장 중요한 시기다 우린 그걸 해냈고 넌 도망갔다  추접하다 생각안드냐 지금 한번 뒤돌아봐라 현역도 아니고 공익을 안가고 도망? 그렇게 많은 액션을 소화 하면서 공익도 싫다고 도망! 넌 딴나라에서 잘 벌어 먹었자나 계속 그렇게 미국서 살고 죽어도 미국서 묻혀라 왜? 넌 미쿡시민이자나 오지마.,950,11,1.0
20210301,20210301,유투브 찍을 시간에 당신 인생에 투자나 해라!!  스티브유~~니가 누굴 가르쳐!!,622,10,1.0
20210301,20210301,서울신문 이것도 뉴스거리냐~~승준아  니넘이야말로 양심이 있어야지~그냥 거기서 살지그래~스티브 유,375,7,1.0
20210301,20210301,2년을  싫다고나간사람이 20년은 더 짧았지? 20년 더 살아봐라. 바뀐것은 너의 잘못된 순간의선택이 얼마나 댓가를 치르는지를,646,18,0.0
20210301,20210301,"자 내가 한국인인데 미국에 가려고해 근데 비자를 못 주겠다고 그러는데 그래서 그걸 미국에 소송을 제기해, 그럼 비자를 주냐? 쯧쯧쯧 너도 평생 그 자리일 것같다. 그만 그렇게 살아라! 무릎꿇고 반성한다고 사죄는 왜 했냐? 보탬이 된다면 이중적인 행동을 하는게 네 삶의 습관같은데?",342,0,0.0
20210301,20210301,대한민국 남아가 아니다  그냥 월북해라,137,14,0.0
20210301,20210301,국민들은 병무청장님을 지지합니다!,10,0,0.0
20210301,20210301,으..... 중국인줄,541,21,0.0
20210301,20210301,백화점 구경? ㅊㅊ60~70년대도 아니고 에효,1075,45,0.0
20210301,20210301,즁국인줄,551,25,0.0
20210301,20210301,여기서ㅜ한놈  걸릴기만해라 현대 느그들이 책임질거냐?,360,101,0.0
20210301,20210301,중국인줄..ㅜㅜ,735,18,0.0
20210301,20210301,어이가 없네...,549,10,0.0
20210301,20210301,니들은  왜가니?,330,12,0.0
20210301,20210301,동네 구멍가게는 다 문닫으라고 하면서 뭐하는 짓인 지...,2062,85,0.0
20210301,20210301,사람많은 줄 알고 갔으면서 거리두기를 운운하다니...,1283,7,0.0
20210301,20210301,정말 행정명령과 공권력이 필요하지 않네요.  코로나 감염을 전혀 우려하지 않는 이기적이고 독선적인 행동으로 사회와 이웃의 건강을 조금도 걱정하지 않는 사람들이네요.,1097,60,0.0
20210301,20210301,미쳤구나 다들 제정신이냐,949,34,0.0
