기사 작성일,댓글 작성일,댓글 내용,좋아요,싫어요,라벨
20201201,20201130,한국일보 왤캐 맛탱이가 갔냐,939,228,-1
20201201,20201130,"여당은 들어라,  국민들이 당신들한테 표를 많이 준것은 국정을 흔들리지말고 잘 이끌고 추진력있게 힘있게 나가라고 뽑아주고 표를 많이 준것이다,  잊지마라! 여기까지도 힘들게왔지만 앞으로는 더욱더 힘들수도있으니 명심하고 공수처, 검찰 개혁은 현정부에서 꼭 이루어냈으면 좋겠다",186,87,-1
20201201,20201130,내가 느끼는 민심은  추미애 장관 잘 한다는 사람이 태반인데  조사를 어디 국힘당 당사에 가서 해왔나,2747,1416,-1
20201201,20201130,민심이 어쩧다고? 윤석열 구속되면  된다.,1616,829,-1
20201201,20201130,"박근혜  이명박처럼  잘못하면  콩밥 먹어야되는게   정상  아닌가?  면죄부 주는  장치를   만들겠다 ㅋ  이승만,  박정희  등   역사책을  다시한번  보시게~~~  왜  전직  대통령이  끌려가도   김영삼, 김대중  아들들이  왜  구속  됐는지  ㅉㅉ  꼼수   쓰는거  보니  뭔가   많이   켕기는  모양이지?  우헤헤헤헤헤 ~~",1038,242,-1
20201201,20201130,검찰개혁 검찰개혁 검찰개혁 추미애 장관님 잘하고 계십니다  기레기들과 썩은 검찰 사뿐히 즈려밝고 가세요,2532,1286,-1
20201201,20201130,이런 정치검세들은 가족들에게도 부끄러울틴데....,1519,796,-1
20201201,20201130,조국처럼 탈탈털어야된다ᆢ,1654,154,-1
20201201,20201130,기더기 쇼 하고 있네.  죄지었으면 처벌 받는게 기본이다.  이제 그 더러운 죗값 치를 날이 오는거다.  직권 남용과 직무 유기로 반드시 그 죗값 치를 날이 올거다.  기대해라.,4711,304,-1
20201201,20201130,개돼지들아 시사를 더 깊이 알고싶으면 조중동 기사는 반대로 읽어봐,2979,424,-1
20201201,20201130,조선기사는?,657,107,-1
20201201,20201130,가을 🐕의 충견이구나~~ 충격적이다!,1103,512,-1
20201201,20201130,지들편에 서면  좋은검사고  법무부편에 있는 검사는 다들북치고 장구치고하는거냐? ㅋ,4251,393,-1
20201201,20201130,어디가든 쓰레기들은 있군요 ~,887,171,-1
20201201,20201130,저 두사람 무섭지? 걸어온 길을 봐라. 권력과 돈에 언론의 소임을 말아먹은 귀뢰귀의 걸어온 길과 같은 줄 아뉘?,2320,222,-1
20201201,20201130,저런 적폐검사들 색출이 검찰개혁 이다,1691,625,-1
20201201,20201130,윤석롈  장모사건은  안 다루나~?   장모  징치고 윤 총장  꾕꽈리친다   라고  특집 추적 기사  쓰면   조선은  산다.~~,3471,412,-1
20201201,20201130,왜구사랑~ 조썬일보 기사는 그냥 똥으로 생각합니다 .아멘~,3302,395,-1
20201201,20201130,조선 이제 인신공격 까지 하는구먼. 소위 언론이  자기 목적을 위해 개인을  음해하고  비난해? 이런 조선은  반드시 없애야 한다.다음 개혁은 언론이다,7441,439,-1
20201201,20201130,조선이 콕 집어 훌륭한 검사 알려주네. 두분 승승장구 하시길..,9185,724,-1
20201201,20201201,종양이 또 종양했네~~ 종양답다!!,1440,285,-1
20201201,20201201,중앙일보 라면 받침으로도 안쓴다,1404,335,-1
20201201,20201201,기사  클릭후 조중동이면 바로 뒤로가기~,1304,357,-1
20201201,20201201,추장관이 수사 지휘 박은정감찰관 자신에게 했다고 자백했네? 법무장관은 검사에게 수사지휘 할 수 없는데 법 위반이다. 장관이 지시했다고 자기 직속상관에게도 보고 안하는  박은정은 달나라에서 온 검사냐?,2273,693,-1
20201201,20201201,종양일보는 믿지 않는게 좋아!!~,3619,575,-1
20201201,20201201,요즘 발악하는 조중동 언론개혁 꼭 합시다,4592,671,-1
20201201,20201201,박은정이가 정말 그랬다면. 이건 적폐네. 간신. 구속하라,2484,408,-1
20201201,20201201,왜 이정화 사진은 없지? 윤가늠이 언론사 사주만나고 댕기드만 언플오지게하네......ㅉㅉㅉ,1865,558,-1
20201201,20201201,"이렇게 검찰 개혁을 저지하려는 그들...  무엇을 보장받았는가?  자기들 권력은 천년만년 누린다고 생각하나?  그들의 후손이 또 다른 검찰한테 싹 발려봐야 정신을 차릴 듯..  화무십일홍이라고 했다..무엇이 정도인지..어느 누구도, 집단도 견제받지 못하는  권력은 부패할 수 밖에 없다는 걸 모르는가?  추미애 화이팅~~문재인 대통령 만세~~ 대한독립 만세~~~~",7280,1674,-1
20201201,20201201,언론개혁. 절실,1658,282,-1
20201201,20201201,"법무부가 적법한 절차를 무시하니, 뭘 하겠어?",1869,672,-1
20201201,20201201,종양일보,1014,271,-1
20201201,20201201,종양아 그래서 어쩌라고? 니들 그러다 피똥싼다.,1053,420,-1
20201201,20201201,검찰 스파이여 뭐여 ~~!!!,450,171,-1
20201201,20201201,기레기들 많이 초조한가봐..,1932,289,-1
20201201,20201201,아주 검더기들과 기더기들이 난리구나  그렇지않아도 힘든데 니들때문에 더 힘들다  긴말말고 맘에 안들면 나가라  대통령 서명해도 항명한다는 청장밑에서 뭐가 자났다고  서로 싸고도냐?  섬하나사서 니들 공화국을 세우든가.  아직도 국민들이 개돼지로 보이지?  내일이면 니들이 그토록 존경하는 일개청장님은  무직신분이 된다.  억울하면 같이 가시든가.  오만한것들.,3400,801,-1
20201201,20201201,기레기들은 월급 좀 더받나?,600,284,-1
20201201,20201201,검사님들. 이제 맘 놓고 판사사찰하세요,4431,306,-1
20201201,20201201,사법부와 검찰 그리고 언론은 국민을 좋아하지 않는다♥ ㅎㅎㅎㅎㅎㅎ,1241,281,-1
20201201,20201201,정의로운 대한민국,908,263,-1
20201201,20201201,판사 사찰한걸로 조선일보 시켜서 애 협박해 받아낸 결정 가지고 기고만장하기는... 넌 내일 해임이야... 만약 해임이 안된다면 대통령이 나서시겠지. 넌 이미 도를 넘고 선을 넘었다. 살 기회를 줬는데도 대통령보다 더 큰 권력을 쥔 줄 착각하는 인간에겐 강한 채찍만 남아있을 뿐이다,5191,565,-1
20201201,20201201,우리나라  최고의 권력 기관은 검찰  이구나 ㅉㅉㅉ    어쩌다가   나라가  이런꼴이  됬을까 슬프다,3611,612,-1
20201201,20201201,판사님들 자기들을 사찰해도 검찰한테는 꼼짝 못하네요. 그러니까 평소에 깨끗하게들 사셔요.,3643,436,-1
20201201,20201201,임명직이  자기권력을 쥐고 놓지 않으려고 저항하는 것에 불과합니다. 그릇된 검찰정치를 국민들이 바로 잡을 겁니다.,4121,635,-1
20201201,20201201,사법부의 판단은 내일 징계위에서 해임을 하면 된다는 얘기다. 사법부가 비는 묻히기 싫으니 징계로 해결하라는 얘기네. 직무정지를 안해도 내일 해임하면 깨끗하다.,3239,466,-1
20201201,20201201,감히 판사 나부랭이가 윤석열 각하를? ㅋㅋㅋㅋ,1053,260,-1
20201201,20201201,견새개혁 + 판새개혁 + 기레기개혁,5129,360,-1
20201201,20201201,"민주당 여기서 밀리면 검찰개혁 물건너 간다 제발 물낙연,물세균 처럼 하지말고 180석답게 밀어붙여라",7774,1008,-1
20201201,20201201,춘장 1일동안 반성하고있어. 네 임기는 내일까지니까 목닦고 반성해라,1218,487,-1
20201201,20201201,정의가 무너진 대한민국,1062,442,-1
20201201,20201201,판새야 잘못해도 그냥 보고 있어야 하냐? 어디까지 봐줘야 하나..,1282,493,-1
20201201,20201201,사법부의 몰지각은 예전부터 였지 ㅋㅋㅋ,861,283,-1
20201201,20201201,판사는  검사가  사찰해도 괜찮은가봐?,2202,306,-1
20201201,20201201,검사는하늘이요 판사는허수와비요 국짐은친일이요 나는봉이외다,3007,502,-1
20201201,20201201,판사님아 뭔가 착각하는거같은데 검찰은 법무부 외청이야 니들처럼 사법부가 아니고...,2116,507,-1
20201201,20201201,"야당지지 세력으로 부터 화환 세례를 받는 현직 검찰총장이 차기 대통령 유력후보가 되면서도 정치중립을 말하고,   판사들 개인정보 동의 없이 수집하면서도 법치주의를 수호한다 말하고,    자신을 임명한 현정권이 민주주의 탈을 쓰고 독재를 한다고 강연하고...    이래도 어찌 못하면 그냥 지가 대통령하라고 청와대 비워주고 나오세요.    국민들은 공수처 출범을 참고 기다리며 추장관 혼자서 검찰개혁 애쓰는 것을 응원 했는데..  민주당과 대통령은 뭘 했나요?  능력이 안되면 정권 내주고 곰찰청에 불려가서 취조받을 준비나 하시오 다들..",1910,472,-1
20201201,20201201,넌 국민의 검찰이 아니고 국민의 짐당 검찰이다.,2094,278,-1
20201201,20201201,"이런 무식한 멧돼지를 봤나..  하지만 여전희 민주세력이 칼자루를 쥐고있다.  4일 징계위도 있고,  국회 해임건의도있다.  목숨줄 몇일 늘어난것뿐이다.  법기술자. 윤가야.  그리고 함부로 국민이라는 말 그 더러은 입에  담지말아라  역겨우니까",5710,401,-1
20201201,20201201,윤씨는 사기꾼 편파 표적 선택 수사는 어쩔래 몰염치,1113,256,-1
20201201,20201201,그럼 당신 장모부터,1850,107,-1
20201201,20201201,국민의 검찰 되어 주지 않아도 됩니다 정중히 사양합니다.  xx놈,1710,334,-1
20201201,20201201,"조폭이 수하들 단도리 하는거임,",1322,164,-1
20201201,20201201,그 척도가 니 장모 수사랑 나베 수사인걸 모리나?,3673,141,-1
20201201,20201201,정신나간 인간 선출직도 아니고 자신이 대통려므로 착각,2124,258,-1
20201201,20201201,국민검찰이 범죄인한테 룸싸롱 가서 술 얻어 먹고 김학의처럼 별장가서 옷벅고 그러냐? 지들 범죄는 기소도 안하고 썩을 대로 썩은 암같은 존재. 이대로 두면 대한민국이 병들어 죽는다,2481,83,-1
20201201,20201201,제 2의 전두환   진정한 싸이코패스,2427,214,-1
20201201,20201201,니 국민은 태극기 부대?,1071,180,-1
20201201,20201201,개그맨으로 컴백? ㅋ,538,87,-1
20201201,20201201,검찰을위한 검찰 그만하세요,1325,134,-1
20201201,20201201,저런말하는 검찰 치고 제대로된놈을 못봤다,938,185,-1
20201201,20201201,딱 조폭 두목 이네,1341,197,-1
20201201,20201201,장모의 검찰이겠지,1241,112,-1
20201201,20201130,이 새벽에 열심히 검찰을 위해서 말같지도 않은 개소리들을 열심히 써되면서 오늘도 언론플레이에 여념이 없는 똥아기레기..,3537,461,-1
20201201,20201130,법무부장관 쫓아 낼때는 딸래미 표창장까지 뒤져서 죄인 만들고 온집안을 다 뒤집어서  쫓아내더만  자기들은 죄없다  탄원 ㅋㅋ,10096,718,-1
20201201,20201130,가재는 게편이다. 초록은 동색이다. 우리가 남이가? 결국 그놈이 그놈이다. 이번에 검찰개혁 완수해야 한다.,3671,569,-1
20201201,20201130,검찰이라는 조직에 충성하는 것들이지 지들 조직에만 충성하고 국민은 지들 밑바닥으로 보는 것들,4798,462,-1
20201201,20201130,느그들이  머라고..이 검새놈들아..공무원이 까라면 까야지,1485,647,-1
20201201,20201130,추장관님여기서물러서면이정권무너짐니다 더욱강하게더욱힘차게나아가십시요 그리고공무윈들이까라면까는거지말들이맗아반성은하지않고사표내면되지절을떠나면되지전부사표수리하세요물가리가필요합니다더욱강하게나가세요.추미애장관화이팅~~~~~,5449,1729,-1
20201201,20201130,권력맛에 찌든 짱아찌들 그 권력 뺏길까봐  발광  하는거죠  이번기회  놓치면  검찰개혁  영원히  물건너 갑니다 노짱께서  검찰개혁  하시려다 놈들한테  당했습니다 이번에도  당하면 안되지요.,3783,517,-1
20201201,20201130,정권을 떠나  국민은 이미 검찰의 밑까지 보고 외친다. 검찰스스로 이제는 개혁의 뜻을 갖고 잣대가 다른 수사에 대한 반성은 커녕 집단지성으로 똘똘뭉쳐 언플만하고 있구나 반성을 모르는 검찰 더 강하게 나가시라 추장관님 힘내십시요. 나라 안 .밖으로 검찰개혁을 원하는 국민들만 보시고~  시대와 역사의 흐름은 이미 검찰개혁을 원하고 있습니다.,7435,877,-1
20201201,20201130,조국 법무부장관 공격 빋을 땐  입닫고 있더만 검찰총장은  죄없다고 아우성들이네,4507,644,-1
20201201,20201130,"근데 검찰들은 왜 철회하라고 하는거지? 진짜잘봇없으면 법눤에서 잘못없다고 판단해서 철회 인용해주겟지 몇일만기다리면 될일을 뭐 저렇게 시끄럽게 떠드는건지 수사할때도 언론플레이, 정치없인 못하는거같더니 모든일을 다똑같이 해결하려 하는구나",2318,336,-1
20201201,20201201,"판사는 검사 아래고, 검찰의 사찰 대상이 맞다. 라고 스스로 자인하는 꼴이라니..",6196,479,-1
20201201,20201201,윤석열 해임~~검찰개혁,1444,541,-1
20201201,20201201,검찰국가 윤석열이가  이나라 대통령이네 에라이씨,1790,396,-1
20201201,20201201,공고한 철옹성 검새 뒤에 판새 마누라 장모 비린내에도 지지하는 개돼지들 대선 주자를 훌륭하게 키워내신 문통 감축드려요~~,1165,422,-1
20201201,20201201,추미애 당장 해임해라,12,8,-1
20201201,20201201,이 나라의 최고권력은 대통령도 정부도 여당도 아닌 검찰이라는걸 다시 확인시켜줌,2633,346,-1
20201201,20201201,이제부터 판사라고 부르지 마라 호구라고 불러라,22,3,-1
20201201,20201201,판사는 자존심도 없나 ㅋ 사찰당하고도 헬렐레 팔렐레네 ㅋㅋ,2805,459,-1
20201201,20201201,총장님   축하드립니다 더욱 철저한 권력 수사 부탁드립니다,17,10,-1
20201201,20201201,내가 이상한건가...이상황이 이해가 안되는건...미쳐가는 개검 법원..ㅠㅠ,3038,547,-1
20201201,20201201,기레기들.. 채동욱 검찰총장 때는  혼외자식 기사로 도배하더니 윤석열은  왜 직무배제를 당했는지에 대한 기사는 거의 없음  추장관님 언론개혁도 꼭 부탁합니다.,5348,568,-1
20201201,20201201,검사 판사  대단들합니다  이번엔 반드시 검찰개혁을 지금못하면 영원히못한다는 각오를 해야합니다,9,2,-1
20201201,20201201,이번에 석열이 뜨끔 했을거다 근데 어쩌냐 내일 열리는 징계위에서 해임되면 끝인데.,31,4,-1
20201201,20201201,저판사도 검찰한테 사찰당해서 꼬투리 잡혔나...?,12,3,-1
20201201,20201130,잠깐잠깐의 쿵쿵대는 어른 발자국소리도 힘든데 이 기사 주인공 가족들은 스트레스가  말도 못하실거같네요 ㅠㅠ 똥이 무서워서 피합니까 더러워서 피하지.. 이 경우는 이사만이 답입니다...,1617,31,-1
20201201,20201130,그냥 붐박스 사다가 천장에 달고 하루종일 틀어버려요....당장 담낭 아침에 와서 무릎 꿇습니다,1000,137,-1
